"","GSM5956408_Ras3_rep1","GSM5956409_Ras3_rep2","GSM5956410_CPR6_rep1","GSM5956411_CPR6_rep2","GSM5956412_CTCF_rep1","GSM5956413_CTCF_rep2"
"FBgn0000003",433,478,341,477,418,442
"FBgn0000008",8379,7537,8807,8265,10009,9961
"FBgn0000014",0,0,4855,4943,563,89
"FBgn0000015",0,837,8201,8527,351,1593
"FBgn0000017",12026,12774,10756,9862,13551,12456
"FBgn0000018",1794,1794,1777,1744,1973,1909
"FBgn0000022",0,170,106,200,698,764
"FBgn0000024",1818,5122,7704,6976,3976,5139
"FBgn0000028",2583,2304,1565,1714,4437,5928
"FBgn0000032",2378,2496,2225,2372,2807,2137
"FBgn0000036",4274,9909,12522,11799,4658,6014
"FBgn0000037",2641,2118,1323,2074,4597,5048
"FBgn0000038",447,1022,390,185,295,148
"FBgn0000039",222,557,1980,1397,202,0
"FBgn0000042",5051,5119,5256,5368,5358,5285
"FBgn0000043",3252,3249,2822,3181,3211,3227
"FBgn0000044",2197,2100,1173,1081,1822,1926
"FBgn0000045",1655,1949,1685,1609,2999,3049
"FBgn0000046",2669,2571,1512,1892,2252,2799
"FBgn0000047",541,571,1173,1701,1259,1437
"FBgn0000052",5221,5090,5572,6369,6185,5410
"FBgn0000053",6619,7093,7329,7018,9467,9171
"FBgn0000055",1978,3244,3102,2868,3719,3700
"FBgn0000056",1831,3152,2964,2730,3581,3521
"FBgn0000057",3537,2679,3522,2706,3801,4102
"FBgn0000061",0,314,0,219,187,800
"FBgn0000063",2641,2860,2424,2425,2859,3255
"FBgn0000064",4625,5081,6050,6221,7032,7108
"FBgn0000071",1465,1924,1524,1540,1963,1947
"FBgn0000075",452,1769,2097,1791,2114,2200
"FBgn0000077",1593,2088,1912,2069,1842,1810
"FBgn0000078",194,11,41,133,0,0
"FBgn0000079",291,475,112,173,30,47
"FBgn0000083",3550,3452,3179,3748,3812,3559
"FBgn0000084",2345,2301,1600,2003,2136,1990
"FBgn0000092",1128,1049,2018,1664,1064,1464
"FBgn0000094",133,163,361,0,0,210
"FBgn0000097",9622,9715,7940,8643,9757,9333
"FBgn0000100",2193,2366,2344,2404,2414,2418
"FBgn0000108",10953,11839,6459,6548,11251,11046
"FBgn0000109",880,905,888,874,832,961
"FBgn0000114",3622,3246,1769,2160,3127,3400
"FBgn0000115",1337,1510,1161,1531,1079,1392
"FBgn0000116",5967,5454,2733,2915,4298,4387
"FBgn0000117",6329,6069,5513,5110,6344,5131
"FBgn0000119",6677,7921,7092,7033,7672,7366
"FBgn0000120",0,2,365,148,467,8
"FBgn0000121",720,1485,790,1161,492,620
"FBgn0000137",723,2381,206,370,1526,1080
"FBgn0000139",2937,2992,3028,3069,3349,3211
"FBgn0000140",6668,7500,7159,7604,8385,7547
"FBgn0000146",3349,3908,3199,3235,3240,3554
"FBgn0000147",2206,2312,1968,1812,2614,2445
"FBgn0000150",1167,1143,1421,1203,1357,1043
"FBgn0000152",4021,4169,3122,3854,4045,4064
"FBgn0000153",1753,1708,2036,1924,3527,3437
"FBgn0000157",277,783,2129,456,908,297
"FBgn0000158",1404,1957,1639,1826,1715,1661
"FBgn0000163",11797,12057,12163,13015,12439,12438
"FBgn0000166",376,477,375,326,495,1339
"FBgn0000173",3124,3557,2964,2731,3393,3211
"FBgn0000179",1955,6010,7027,7371,8814,8921
"FBgn0000180",3973,4240,3985,4103,4755,4446
"FBgn0000181",2859,2954,2650,3007,2990,2936
"FBgn0000182",15,167,463,502,412,411
"FBgn0000183",6367,6921,10034,9838,8001,7220
"FBgn0000206",204,482,4127,4266,1404,702
"FBgn0000212",8725,7765,7912,7895,8593,7566
"FBgn0000216",310,344,0,241,131,340
"FBgn0000221",1327,2213,1519,1605,1949,1455
"FBgn0000227",251,1269,88,205,162,0
"FBgn0000228",5300,5649,5743,6134,6611,6134
"FBgn0000229",2180,2774,2904,2462,2662,2444
"FBgn0000233",0,547,2757,2701,428,583
"FBgn0000239",4915,4331,4123,4174,4631,4577
"FBgn0000241",3086,2898,1932,2357,4421,4329
"FBgn0000244",3655,6734,5683,5742,6251,6802
"FBgn0000246",2635,2879,2769,2967,2982,3219
"FBgn0000247",7942,7886,8436,8382,8277,8091
"FBgn0000250",4173,4721,5176,4270,4258,4395
"FBgn0000251",139,198,266,10,577,501
"FBgn0000253",7415,7473,7204,7749,7583,7354
"FBgn0000256",8164,8845,7683,7311,10803,11244
