chrom,start,end
chr2L,11003876,11004477
chr2L,118499,119100
chr2L,11878712,11879313
chr2L,122174,122775
chr2L,13500309,13500910
chr2L,14160728,14161329
chr2L,14588759,14589360
chr2L,14706128,14706729
chr2L,1492103,1492704
chr2L,15060526,15061127
chr2L,17784543,17785144
chr2L,18665820,18666421
chr2L,18839420,18840021
chr2L,1884291,1884892
chr2L,19363500,19364101
chr2L,19817012,19817613
chr2L,20120785,20121386
chr2L,21077819,21078420
chr2L,3094133,3094734
chr2L,3784426,3785027
chr2L,3786109,3786710
chr2L,3889474,3890075
chr2L,5365595,5366196
chr2L,5771083,5771684
chr2L,602211,602812
chr2L,6356567,6357168
chr2L,6526858,6527459
chr2L,6797299,6797900
chr2L,72927,73528
chr2L,7533744,7534345
chr2L,7534787,7535388
chr2L,7641512,7642113
chr2L,7890616,7891217
chr2L,8239865,8240466
chr2L,9393201,9393802
chr2L,9396231,9396832
chr2L,9613068,9613669
chr2R,14434122,14434723
chr2R,14624393,14624994
chr2R,15010624,15011225
chr2R,15011066,15011667
chr2R,15244811,15245412
chr2R,15339438,15340039
chr2R,15485370,15485971
chr2R,15821185,15821786
chr2R,16551805,16552406
chr2R,16669906,16670507
chr2R,16672764,16673365
chr2R,16799937,16800538
chr2R,17926970,17927571
chr2R,18513786,18514387
chr2R,20906405,20907006
chr2R,21251365,21251966
chr2R,21535282,21535883
chr2R,22133748,22134349
chr2R,23617670,23618271
chr2R,23652206,23652807
chr2R,6150939,6151540
chr2R,25038311,25038912
chr2R,25084068,25084669
chr2R,25085293,25085894
chr2R,6500035,6500636
chr2R,6922995,6923596
chr2R,8251421,8252022
chr2R,8992154,8992755
chr2R,9942679,9943280
chr2R,11134244,11134845
chr2R,11824960,11825561
chr2R,13344121,13344722
chr2R,13450226,13450827
chr2R,13453299,13453900
chr3L,10664341,10664942
chr3L,12066542,12067143
chr3L,13410906,13411507
chr3L,14111319,14111920
chr3L,14671455,14672056
chr3L,14942693,14943294
chr3L,16037038,16037639
chr3L,16563265,16563866
chr3L,16661380,16661981
chr3L,16883964,16884565
chr3L,17242223,17242824
chr3L,17766402,17767003
chr3L,18019523,18020124
chr3L,18114255,18114856
chr3L,18848288,18848889
chr3L,18968446,18969047
chr3L,20097172,20097773
chr3L,20712143,20712744
chr3L,21285754,21286355
chr3L,21317790,21318391
chr3L,21604169,21604770
chr3L,21652691,21653292
chr3L,22266384,22266985
chr3L,22346398,22346999
chr3L,22634002,22634603
chr3L,22940116,22940717
chr3L,22958092,22958693
chr3L,22960037,22960638
chr3L,2409180,2409781
chr3L,246690,247291
chr3L,248058,248659
chr3L,2851711,2852312
chr3L,3076451,3077052
chr3L,3616228,3616829
chr3L,4805662,4806263
chr3L,6124508,6125109
chr3L,6264352,6264953
chr3L,6688818,6689419
chr3L,6942469,6943070
chr3L,711896,712497
chr3L,7836958,7837559
chr3L,8718473,8719074
chr3L,8748729,8749330
chr3L,9054678,9055279
chr3L,9064097,9064698
chr3L,9333600,9334201
chr3R,14391137,14391738
chr3R,15131676,15132277
chr3R,5298911,5299512
chr3R,16497223,16497824
chr3R,17108802,17109403
chr3R,17614948,17615549
chr3R,18021031,18021632
chr3R,19490877,19491478
chr3R,19607484,19608085
chr3R,19648534,19649135
chr3R,20058853,20059454
chr3R,20506282,20506883
chr3R,20908572,20909173
chr3R,20947920,20948521
chr3R,21179491,21180092
chr3R,21487668,21488269
chr3R,21520116,21520717
chr3R,21520646,21521247
chr3R,23159200,23159801
chr3R,23721855,23722456
chr3R,23902433,23903034
chr3R,24586495,24587096
chr3R,25512640,25513241
chr3R,25851024,25851625
chr3R,26137167,26137768
chr3R,26866558,26867159
chr3R,27547266,27547867
chr3R,28672106,28672707
chr3R,6759386,6759987
chr3R,30870399,30871000
chr3R,6912059,6912660
chr3R,7346361,7346962
chr3R,7810080,7810681
chr3R,7981254,7981855
chr3R,8862619,8863220
chr3R,8863126,8863727
chr3R,9574138,9574739
chr3R,10100414,10101015
chr3R,10203417,10204018
chr3R,10436904,10437505
chr3R,11568325,11568926
chr3R,11613011,11613612
chr3R,11665379,11665980
chr3R,4969100,4969701
chr3R,4970583,4971184
chr3R,12221980,12222581
chr3R,12650461,12651062
chr3R,12723686,12724287
chr3R,13471261,13471862
chr3R,5126762,5127363
chr3R,14088683,14089284
chr4,424494,425095
chr4,486479,487080
chr4,835657,836258
chrX,10385593,10386194
chrX,10768024,10768625
chrX,11520149,11520750
chrX,11580469,11581070
chrX,13563339,13563940
chrX,14953302,14953903
chrX,14955120,14955721
chrX,15080924,15081525
chrX,15594377,15594978
chrX,15653415,15654016
chrX,16105611,16106212
chrX,16244626,16245227
chrX,17175670,17176271
chrX,17531672,17532273
chrX,17532163,17532764
chrX,17751585,17752186
chrX,17820135,17820736
chrX,18321247,18321848
chrX,18363327,18363928
chrX,1952823,1953424
chrX,18771896,18772497
chrX,18843287,18843888
chrX,19851856,19852457
chrX,19865744,19866345
chrX,20760292,20760893
chrX,4529770,4530371
chrX,4684245,4684846
chrX,6740954,6741555
chrX,7241821,7242422
chrX,7710652,7711253
chrX,8060762,8061363
chrX,8210536,8211137
chrX,8837825,8838426
chrX,1009777,1010378
chrX,1056429,1057030
chrX,9643383,9643984
chrX,9778370,9778971
chrX,10009653,10010254
